SUID,name,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
7070,NR2E3,0.00137859,0.31070496,0,5,3,2,FALSE,,14,1,0,FALSE,0,NR2E3,518
7235,TP73,0.00134671,0.29873418,0.2,5,12,9,FALSE,,32.54545455,3,1,FALSE,0,TP73,1045
6990,KLF4,0.00133526,0.32869081,0.05494505,5,14,10,FALSE,,15.07142857,4,0,FALSE,0,KLF4,947
7255,XBP1,0.00125025,0.31134565,0,5,6,5,FALSE,,9.5,1,0,FALSE,0,XBP1,539
7152,SNAI2,0.00123144,0.21651376,0.02287582,7,18,15,FALSE,,11,3,0,FALSE,0,SNAI2,525
7248,USF2,0.00116403,0.32417582,0.05,5,6,1,FALSE,,19.4,5,1,FALSE,0,USF2,566
7068,NR1I2,0.00105272,0.33898305,0.06666667,5,10,6,FALSE,,17.4,4,0,FALSE,0,NR1I2,620
6904,ETS2,0.00100854,0.34705882,0.16666667,5,7,3,FALSE,,34.14285714,4,0,FALSE,0,ETS2,584
6785,APC,0.00100346,0.29573935,0.05555556,5,10,6,FALSE,,18.2,4,0,FALSE,0,APC,717
6859,E2F4,9.89E-04,0.34195402,0.07142857,5,8,3,FALSE,,28.875,5,0,FALSE,0,E2F4,514
7215,TFAP2A,9.78E-04,0.29573935,0.04166667,5,10,4,FALSE,,17.88888889,6,1,FALSE,0,TFAP2A,488
6808,ATF5,9.28E-04,0.30909091,0.03333333,6,6,3,FALSE,,15,3,0,FALSE,0,ATF5,432
7241,TWIST2,8.92E-04,0.32686981,0.0952381,5,7,2,FALSE,,21.85714286,5,0,FALSE,0,TWIST2,765
6939,GLI2,8.58E-04,0.29426434,0.2,5,6,4,FALSE,,30,2,0,FALSE,0,GLI2,534
7204,STAT6,8.09E-04,0.3033419,0,5,4,2,FALSE,,16.5,2,0,FALSE,0,STAT6,366
6984,JUND,7.48E-04,0.25265393,0.05,6,5,3,FALSE,,11.2,2,0,FALSE,0,JUND,392
6818,BARD1,6.89E-04,0.31070496,0,5,2,1,FALSE,,20.5,1,0,FALSE,0,BARD1,259
7107,PURA,6.89E-04,0.2902439,0.16666667,5,3,1,FALSE,,28.33333333,2,0,FALSE,0,PURA,301
7134,SATB1,6.73E-04,0.32328767,0.03333333,6,6,3,FALSE,,18,3,0,FALSE,0,SATB1,370
7200,STAT5A,6.53E-04,0.35866261,0.33333333,5,3,1,FALSE,,33.66666667,2,0,FALSE,0,STAT5A,533
6882,ERCC2,4.49E-04,0.33618234,0.33333333,5,4,1,FALSE,,46,3,0,FALSE,0,ERCC2,301
7057,NFKBIA,3.71E-04,0.33618234,0.41666667,5,6,3,FALSE,,37,3,2,FALSE,0,NFKBIA,267
6907,ETV4,3.59E-04,0.27570093,0,6,3,1,FALSE,,29.33333333,2,0,FALSE,0,ETV4,170
6974,ING4,3.27E-04,0.32065217,0.16666667,5,3,1,FALSE,,39.66666667,2,0,FALSE,0,ING4,241
7072,NR4A1,2.83E-04,0.29280397,0.11904762,5,7,5,FALSE,,22.28571429,2,0,FALSE,0,NR4A1,180
6842,DACH1,2.41E-04,0.28229665,0.16666667,5,3,2,FALSE,,20.33333333,1,0,FALSE,0,DACH1,279
7261,YBX1,2.41E-04,0.32777778,0.15,5,5,1,FALSE,,32.8,4,0,FALSE,0,YBX1,168
6935,GLI1,2.02E-04,0.3025641,0.25,5,5,2,FALSE,,25.25,3,1,FALSE,0,GLI1,94
6872,ELK4,1.81E-04,0.28297362,0,5,2,1,FALSE,,46.5,1,0,FALSE,0,ELK4,114
6867,ELF4,1.54E-04,0.3197832,0.08333333,5,5,3,FALSE,,37,2,1,FALSE,0,ELF4,161
7150,SMARCA4,1.50E-04,0.28297362,0,5,2,1,FALSE,,29,1,0,FALSE,0,SMARCA4,78
6869,ELK1,1.19E-04,0.28915663,0.1,5,5,2,FALSE,,17.6,3,0,FALSE,0,ELK1,66
6896,ESR2,1.05E-04,0.31134565,0.05,5,5,2,FALSE,,26.2,3,0,FALSE,0,ESR2,74
7020,MTA1,9.86E-05,0.35866261,0.30357143,4,8,2,FALSE,,36.125,6,0,FALSE,0,MTA1,73
7079,PAX2,8.06E-05,0.34104046,0,5,4,1,FALSE,,39,3,1,FALSE,0,PAX2,129
7013,MECP2,7.27E-05,0.31070496,0,5,2,1,FALSE,,21.5,1,0,FALSE,0,MECP2,22
7163,ID4,4.27E-05,0.29353234,0.16666667,5,4,3,FALSE,,28.25,1,0,FALSE,0,ID4,47
7202,STAT5B,3.72E-05,0.31315789,0,5,3,1,FALSE,,17,2,0,FALSE,0,STAT5B,12
6958,HOPX,3.69E-05,0.28297362,0,5,2,1,FALSE,,23.5,1,0,FALSE,0,HOPX,23
7009,MAML1,2.96E-05,0.28780488,0,6,2,1,FALSE,,14,1,0,FALSE,0,MAML1,21
7083,PER1,2.48E-05,1,0,1,5,4,FALSE,,13.8,1,0,FALSE,0,PER1,10
6844,DDB2,2.15E-05,1,0.23333333,1,6,5,FALSE,,37.83333333,1,0,FALSE,0,DDB2,16
6863,ELF1,1.59E-05,1,0,1,2,1,FALSE,,23,1,0,FALSE,0,ELF1,19
7000,KLF9,8.61E-06,0.28199052,0,5,2,1,FALSE,,8.5,1,0,FALSE,0,KLF9,4
6812,ATF7,5.79E-06,1,0,1,2,1,FALSE,,15,1,0,FALSE,0,ATF7,1
6970,ILF3,5.79E-06,1,0,1,2,1,FALSE,,13,1,0,FALSE,0,ILF3,1
6996,KLF6,5.47E-06,1,0,1,2,1,FALSE,,21.5,1,0,FALSE,0,KLF6,4
6988,KLF10,2.90E-06,1,0,1,2,1,FALSE,,12.5,1,0,FALSE,0,KLF10,1
7226,TGIF1,2.90E-06,1,0,1,2,1,FALSE,,13,1,0,FALSE,0,TGIF1,1
6846,DEK,1.88E-06,1,0,1,2,1,FALSE,,34,1,0,FALSE,0,DEK,2
6779,ABL1,0,0.34693878,0.25,5,4,0,FALSE,,40,4,0,FALSE,0,ABL1,0
6780,BCL2,0,0,0.0468599,0,46,46,FALSE,,15.43478261,0,0,FALSE,0,BCL2,0
6786,BIRC5,0,0,0.10833333,0,25,25,FALSE,,20.32,0,0,FALSE,0,BIRC5,0
6789,ERBB2,0,0,0.02586207,0,29,29,FALSE,,10.65517241,0,0,FALSE,0,ERBB2,0
6792,MUC1,0,0,0.10909091,0,11,11,FALSE,,16.27272727,0,0,FALSE,0,MUC1,0
6798,ARNTL2,0,1,0,1,1,0,FALSE,,20,1,0,FALSE,0,ARNTL2,0
6799,SERPINE1,0,0,0.06578947,0,20,20,FALSE,,19.1,0,0,FALSE,0,SERPINE1,0
